competition_id,competition_name
9,Austrian Erste Liga
11,Dutch Eerste Divisie
13,Brazilian Serie A
15,Bulgarian A League
17,Croatian 1 HNL
19,Cypriot 1st Division
23,Danish Superliga
25,Danish 1st Division
35,English League 1
37,English League 2
41,English National League North
43,English National League South
45,Finnish Veikkausliiga
47,Finnish Ykkonen
55,French Ligue 1
57,French Ligue 2
59,German Bundesliga
61,German Bundesliga 2
63,German Regionalliga North
65,German Regionalliga Southwest
67,Greek Super League
77,Airtricity Premier Division
81,Italian Serie A
89,Japanese J League
97,Polish Ekstraklasa
99,Portuguese Primeira Liga
101,Russian Premier League
103,Serbian Super League
105,Scottish Premiership
107,Scottish Championship
109,Scottish League One
111,Scottish League Two
113,Slovakian Super Liga
115,Slovenian Premier League
115,Slowenien - Premier League
117,Spanish La Liga
121,Spanish Segunda Division B - Group 1
121,Spanish Segunda RFEF - Group 1
123,Spanish Segunda Division B - Group 2
123,Spanish Segunda RFEF - Group 2
125,Spanish Segunda Division B - Group 3
125,Spanish Segunda RFEF - Group 3
127,Spanish Segunda Division B - Group 4
127,Spanish Segunda RFEF - Group 4
129,Swedish Allsvenskan
133,Swiss Super League
135,Swiss Challenge League
139,Ukrainian Premier League
141,US MLS
141,US Major League Soccer
228,UEFA - Champions League
228,UEFA Champions League
818,Portuguese Super Cup
2005,UEFA Europa League
2134,English Football League Cup
4051,Norwegian Cup
4655,Copa Sudamericana
4905,Romanian Liga I
6301,U21 Internationals
9513,Portuguese Segunda Liga
11201,UEFA Super Cup
12801,Spanish Copa del Rey
13051,U19 Internationals
18099,Swedish Cup
19513,Dutch Cup
19640,Portuguese League Cup
20601,Finnish Cup
22358,French League Cup
29051,Swiss Cup
30558,English FA Cup
39218,AFC Champions League
39770,Belgian Cup
42886,English FA Trophy
61351,Taca de Portugal
62815,Copa Libertadores
67387,Argentinian Primera Division
69234,Davis Cup
69234,Davis Cup 2019
69234,Davis Cup 2020
69234,Davis Cup 2021
69234,Davis Cup 2022
69234,Davis Cup 2023
69234,Davis Cup 2024
69234,Davis Cup Finals 2021
69234,Davis Cup Finals 2022
89219,Brazilian Cup
89979,Belgian First Division A
91729,Toulon Tournament
97855,Slovakian Cup
101480,Indian Premier League
154811,Icelandic Cup
155369,US Open Cup
160501,Emirates Cup
164952,Belgian 2nd Division
175680,Turkish 1 Lig
194215,Turkish Super League
194961,CONCACAF Champions League
252549,Welsh Premiership
299924,Welsh Cup
300965,Ukrainian Cup
309948,Bulgarian Cup
309972,AFC Asian Cup
311631,Dutch Playoffs
318343,German Regionalliga Northeast
319919,CONCACAF Gold Cup
321319,Brazilian Serie B
338432,Bulgarian Super Cup
340643,English Community Shield
403085,Polish I Liga
409743,Scottish F.A. Cup
483094,Brazilian Goiano
530963,Ukrainian Super Cup
540904,Croatian Super Cup
542539,Belgian Super Cup
544448,French Super Cup
695030,Welsh League Cup
744098,Chilean Primera Division
801976,Egyptian Premier
801998,Qatari Stars Cup
802004,Egyptian Cup
803237,Argentinian Primera B Nacional
803690,Ecuadorian Serie A
818765,Turkish 3 Lig
819180,Hong Kong Senior Shield
820582,English Isthmian Premier
821269,Spanish Tercera Division
821269,Spanish Tercera Division RFEF
822165,Israeli Premier League
823306,Hong Kong Cup
823332,Brazilian Sao Paulo Youth Cup
827078,Mexican U20
827654,Hong Kong League Cup
827754,Mexican Ascenso MX
828464,U20 South American Championship
833222,Turkish 2 Lig
833616,Greek Football League
833990,Hong Kong Premier League
834025,Spanish Copa Federacion
837616,Dutch Beloften Eerste Divisie (Youth)
838020,Icelandic Fotbolti.net Cup
839500,Syrian Premier League
839575,Paraguayan Primera Division
840808,German Regionalliga West
840886,Malaysian Super League
842258,Qatari Stars League
843222,Jordan League
843454,Uruguayan Primera Division
844197,Colombian Primera A
845654,U23 Internationals
848322,Singapore S-League
849220,Icelandic League Cup
852072,Malaysian FA Cup
852459,German A-Junioren Bundesliga (Youth)
853948,German Regionalliga Bavaria
854148,Colombian Cup
855972,UAE Presidents Cup
856134,Colombian Primera B
857992,Chilean Primera B
858443,Estonian Super Cup
862579,Romanian Liga II
862638,Czech 2 Liga
868392,Russian Reserves
868392,Russian Youth
868823,Singapore Prime League
872215,Ukrainian Persha Liga
872276,Norwegian U19
873203,Estonian Esiliiga
874299,Cypriot 2nd Division
879221,Lithuanian A Lyga
879931,Chinese Super League
880458,Russian Division 1
886334,Danish U21
887178,Virsliga
888275,Belarusian Premier League
892425,Czech 3 Liga
895129,Azerbaijan Premier League
900926,Jordan Cup
920223,Swedish Division 2
940730,Danish U19
944127,Singapore Cup
946085,U20 Copa Libertadores
961354,Chilean Cup
987643,CAF Champions League
1062024,Japanese J League 2
1065530,Venezuelan Primera Division
1079277,Belarus League (W)
1081960,French National
1097799,English Central League
1197683,Peruvian Cup
1258941,Iranian Pro League
1258941,Pro  League
1327393,Maltese Premier League
1345672,English Central League Cup
1436284,Azerbaijan Cup
1476085,Malaysian Premier League
1517121,Macedonian 1st League
1587980,Lithuanian 1 Lyga
1661891,Latvian 1 Liga
1738787,South Korean FA Cup
1831264,Russian Super Cup
1842928,Hungarian NB I
1979279,Mexican Copa MX
1987477,Czech U19
2079376,Costa Rican Primera Division
2125912,AFF Women's Championship
2273834,Georgian Umaglesi Liga
2315454,Saudi 1st Division
2371216,Jordan 1st Division
2490975,Brazilian Paulista Serie A1
2492474,Copa centroamericana
2517464,Brazilian Copa do Nordeste
2519611,Brazilian Paulista Serie A2
2519695,Colombian Super Cup
2539145,Maltese FA Trophy
2609677,Moroccan Botola Pro 1
2883157,Israeli Premier League (W)
2888729,Armenian Premier League
2901699,Estonian Esiliiga B
3006957,Romanian Liga III
3021702,Bosnian Cup
3039423,Kuwaiti Emir Cup
3039445,Costa Rican Liga de Ascenso
3057583,Ecuadorian Serie B
3061353,Armenian First League
3085749,Chilean Segunda Division
3127357,Bosnian Premier League
3172302,Brazilian Serie C
3271074,South African Playoff
3297875,Thai Cup
3374364,Croatian Super  Cup
3398826,Costa Rican Cup
3446340,Chilean Super Cup
3535821,International Champions Cup
3583988,Brazilian Copa Paulista
3729355,Bolivian Liga Nacional A
3732159,UAE Super Cup
3745022,Brazilian Copa FGF
3765131,Croatian U19 League
3784863,UEFA Youth League
3785366,Japanese Football League
3792498,Algerian U21
3796898,Jamaican Premier League
3889737,UAE League Cup
3972877,Panamanian Premier League
3992967,Croatian 2 HNL
4081772,SPFL Reserve League
4095837,Moroccan Cup
4105812,UAE U19
4203186,Kuwaiti Crown Prince Cup
4212370,South African Cup
4215067,Algerian Cup
4381282,Liverpool Senior Cup
4384863,Argentinian Super Cup
4431442,Algerian Ligue 1
4432552,Atlantic Cup
4488516,Qatari Q League
4488900,Saudi U20
4491576,Estonian Winter League
4512440,Argentinian Reserves
4515700,Luxembourg Division Nationale
4517491,Azerbaijan 1st Division
4556576,Hungarian NB II
4556656,Algerian Ligue 2
4596954,English Isthmian League Cup
4608119,Vietnamese National Cup
4608858,Thai League 2
4608865,Thai League 3
4609592,Superliga (women)
4643366,Egyptian 2nd Division
4644373,Estonian U19
4644792,Barbadian Matches
4684340,Friendlies (W)
4684362,CFU Club Championship
4802285,Japanese J League 3
4808016,Vietnamese 2nd Division
4848838,Czech U21
4851739,Uzbekistan Cup
4875842,Brazilian Copa Verde
5052774,Armenian Cup
5165857,Portuguese Playoffs
5281887,Finnish Kolmonen
5618479,Israeli Liga Alef
5627174,Mexican Liga MX
5699678,Estonian II Liga
5790028,South African Top 8 Cup
5817495,Northern Irish League Cup
5982310,Brazilian Copa Rio
6023868,French Ladies
6023868,French Women's Matches
6104087,Uruguayan Segunda Division
6182297,Gibraltar Premier Division
6193239,UAE U21
6251219,Indian Super League
6294086,Hong Kong 1st Division
6390405,Tunisian Cup
6472933,Mexican U20 League Playoffs
6506496,Macedonian Cup
6533650,Georgian Super Cup
6564385,Liga Nacional - Playoffs
6566654,Guatemalan Liga Nacional
6569630,Moroccan Botola 2
6573805,UAE Division 1
6603449,Scottish Lowland League
6694981,Tunisian Ligue 2
6812603,Guatemalan Primera Division de Ascenso
6878901,CAF Super Cup
6908995,Kuwaiti Premier League
7030666,Bangalore Super Division League
7063192,Kuwaiti Federation Cup
7129730,English Championship
7160078,Romanian Ladies
7160078,Romanian Women's Matches
7197874,Uzbekistan 1st Division
7210007,Italian Serie D
7214585,OFC Champions League
7247362,Ugandan Premier League
7247364,Argentinian Primera D Metro
7317471,Austrian Landesliga
7317506,Austrian Regionalliga
7344968,German Oberliga
7348566,Irish Leinster Senior League
7371016,San Marino Campionato
7422406,Liechtenstein Cup
7422970,Brazilian Paulista Serie A3
7426251,Russian Ladies
7426251,Russian Women's Matches
7427367,COSAFA Cup
7480739,Uruguayan Reserves
7511144,Argentinian Primera C
7552788,Luxembourg Cup
7568908,Rwandan Cup Matches
7596190,Croatian 3. HNL
7616742,Kenyan Premier League
7672122,CAF African Nations Championship
7710075,Polish III Liga
7836682,Myanmar National League
7861914,Uruguayan U19
7897664,CECAFA Cup
7946082,Ukrainian U21
7980087,Brazilian Serie D
7996831,English Ladies FA Cup
7996831,English Women's FA Cup
